ts_hour,wind_speed_mps,wind_gust_mps,rain_mm,visibility_km,storm_flag
2025-02-05 05:00:00,3.21,6.84,0.0,12.33,0
2025-02-05 06:00:00,5.58,7.89,1.48,10.35,0
2025-02-05 07:00:00,3.08,5.57,0.0,11.34,0
2025-02-05 08:00:00,3.95,5.73,0.0,11.46,0
2025-02-05 09:00:00,4.49,5.5,0.0,12.46,0
2025-02-05 10:00:00,4.51,7.22,0.0,11.49,0
2025-02-05 11:00:00,1.96,4.61,0.0,12.14,0
2025-02-05 12:00:00,2.24,2.74,0.0,11.92,0
2025-02-05 13:00:00,3.8,5.7,0.0,12.05,0
2025-02-05 14:00:00,2.44,5.48,0.0,12.74,0
2025-02-05 15:00:00,1.03,4.79,0.0,12.18,0
2025-02-05 16:00:00,2.5,5.37,0.0,11.85,0
2025-02-05 17:00:00,2.36,2.86,0.0,12.37,0
2025-02-05 18:00:00,2.69,3.42,0.0,13.34,0
2025-02-05 19:00:00,3.14,4.72,0.0,12.09,0
2025-02-05 20:00:00,3.14,6.82,0.0,11.02,0
2025-02-05 21:00:00,1.79,3.06,11.45,6.94,0
2025-02-05 22:00:00,2.38,5.65,0.0,11.78,0
2025-02-05 23:00:00,4.18,5.43,0.87,10.78,0
2025-02-06 00:00:00,2.59,5.23,0.0,10.09,0
2025-02-06 01:00:00,2.97,3.85,0.0,11.77,0
2025-02-06 02:00:00,1.84,3.6,0.0,12.3,0
2025-02-06 03:00:00,3.77,4.42,0.0,13.11,0
2025-02-06 04:00:00,4.35,8.08,0.0,11.99,0
2025-02-06 05:00:00,1.64,2.81,0.0,12.25,0
2025-02-06 06:00:00,2.76,3.26,0.0,12.41,0
2025-02-06 07:00:00,2.31,2.81,0.0,12.07,0
2025-02-06 08:00:00,4.88,6.78,0.0,11.47,0
2025-02-06 09:00:00,1.51,2.96,0.0,13.74,0
2025-02-06 10:00:00,3.55,6.33,0.0,11.21,0
2025-02-06 11:00:00,4.31,6.03,0.0,12.33,0
2025-02-06 12:00:00,3.47,6.87,0.0,11.38,0
2025-02-06 13:00:00,2.51,4.04,0.0,12.09,0
2025-02-06 14:00:00,3.26,6.49,0.0,12.33,0
2025-02-06 15:00:00,3.92,4.78,0.0,11.84,0
2025-02-06 16:00:00,2.42,2.92,0.0,11.03,0
