channelId,portId,channelName,channelLength,channelWidth,channelDepth,channelDepthAtChartDatum,oneWayOrTwoWay,maxVesselLOA,maxVesselBeam,maxVesselDraft,trafficSeparationScheme,speedLimit,tidalWindowRequired,pilotageCompulsory,tugEscortRequired,dayNightRestrictions,visibilityMinimum,windSpeedLimit,currentSpeedLimit,channelSegments,anchorageAreaId
1,1,Port of Singapore Main Approach Channel,18968,266,24.3,23.2,Two-Way,362,61,22.8,TRUE,10,FALSE,TRUE,FALSE,Night Transit with Enhanced Pilotage,1000,45,2.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 7064, ""width"": 272, ""depth"": 24.2, ""bearing"": 127}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2988, ""width"": 244, ""depth"": 24.6, ""bearing"": 215}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 3278, ""width"": 244, ""depth"": 24.7, ""bearing"": 99}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 882, ""width"": 272, ""depth"": 24.7, ""bearing"": 154}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 4756, ""width"": 270, ""depth"": 23.9, ""bearing"": 198}]",1
2,1,Port of Singapore Inner Navigation Channel,6526,350,15.5,14.9,One-Way,312,51,14,TRUE,10,TRUE,TRUE,FALSE,24/7 Operations,750,35,3.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2414, ""width"": 364, ""depth"": 15.9, ""bearing"": 232}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1371, ""width"": 368, ""depth"": 15.6, ""bearing"": 265}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 536, ""width"": 375, ""depth"": 15.1, ""bearing"": 223}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 795, ""width"": 336, ""depth"": 16.0, ""bearing"": 83}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 1410, ""width"": 333, ""depth"": 15.2, ""bearing"": 304}]",2
3,1,Port of Singapore Basin Access Channel,1552,108,15,14.1,One-Way,319,45,13.5,FALSE,10,TRUE,TRUE,TRUE,24/7 Operations,500,40,3.4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 337, ""width"": 100, ""depth"": 15.2, ""bearing"": 22}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 354, ""width"": 111, ""depth"": 15.0, ""bearing"": 15}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 282, ""width"": 91, ""depth"": 14.8, ""bearing"": 191}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 579, ""width"": 137, ""depth"": 15.3, ""bearing"": 89}]",3
4,1,Port of Singapore Terminal Access Fairway,775,130,14.5,13.6,One-Way,269,44,13,FALSE,6,FALSE,TRUE,TRUE,Daylight Hours Preferred,1500,40,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 242, ""width"": 146, ""depth"": 14.1, ""bearing"": 307}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 162, ""width"": 100, ""depth"": 15.0, ""bearing"": 286}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 58, ""width"": 119, ""depth"": 14.7, ""bearing"": 84}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 95, ""width"": 124, ""depth"": 14.5, ""bearing"": 281}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 218, ""width"": 156, ""depth"": 14.9, ""bearing"": 328}]",4
5,1,Port of Singapore Deep Water Tanker Channel,5726,480,21.6,20.5,Two-Way,364,61,19.6,TRUE,10,TRUE,TRUE,TRUE,Day Only for Deep Draft,1500,25,2.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1093, ""width"": 461, ""depth"": 22.0, ""bearing"": 147}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1741, ""width"": 468, ""depth"": 21.8, ""bearing"": 128}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2892, ""width"": 502, ""depth"": 21.5, ""bearing"": 358}]",5
6,2,Port of Shanghai Main Approach Channel,9315,369,19.1,18.4,Two-Way,394,60,17.6,FALSE,12,FALSE,TRUE,FALSE,24/7 Operations,750,30,3.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2014, ""width"": 341, ""depth"": 19.6, ""bearing"": 105}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1425, ""width"": 393, ""depth"": 18.8, ""bearing"": 285}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1748, ""width"": 389, ""depth"": 19.3, ""bearing"": 288}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 4128, ""width"": 392, ""depth"": 19.5, ""bearing"": 357}]",6
7,2,Port of Shanghai Inner Navigation Channel,3791,174,14.4,13,One-Way,308,48,12.9,TRUE,8,FALSE,TRUE,FALSE,24/7 Operations,1500,35,3.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1048, ""width"": 169, ""depth"": 14.5, ""bearing"": 114}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 990, ""width"": 193, ""depth"": 14.3, ""bearing"": 281}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 352, ""width"": 189, ""depth"": 14.2, ""bearing"": 106}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 416, ""width"": 158, ""depth"": 14.5, ""bearing"": 60}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 985, ""width"": 148, ""depth"": 14.5, ""bearing"": 338}]",7
8,2,Port of Shanghai Inner Channel 2,7861,218,13.1,11.9,Two-Way,317,52,11.6,TRUE,10,FALSE,TRUE,TRUE,None,750,40,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2144, ""width"": 195, ""depth"": 12.9, ""bearing"": 172}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1150, ""width"": 220, ""depth"": 13.5, ""bearing"": 18}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1098, ""width"": 206, ""depth"": 12.8, ""bearing"": 147}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 3469, ""width"": 215, ""depth"": 13.0, ""bearing"": 43}]",8
9,2,Port of Shanghai Basin Access Channel,2708,142,15.8,15.3,One-Way,260,49,14.3,TRUE,10,FALSE,TRUE,FALSE,None,1500,35,3.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 649, ""width"": 145, ""depth"": 15.4, ""bearing"": 129}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 821, ""width"": 168, ""depth"": 15.8, ""bearing"": 345}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 268, ""width"": 163, ""depth"": 15.5, ""bearing"": 229}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 231, ""width"": 165, ""depth"": 15.7, ""bearing"": 128}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 739, ""width"": 150, ""depth"": 15.5, ""bearing"": 151}]",9
10,2,Port of Shanghai Terminal Access Fairway,1025,144,13.4,12.1,One-Way,316,47,11.9,TRUE,8,FALSE,TRUE,FALSE,Daylight Hours Preferred,1500,40,3.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 166, ""width"": 124, ""depth"": 13.2, ""bearing"": 153}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 141, ""width"": 134, ""depth"": 13.3, ""bearing"": 87}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 111, ""width"": 150, ""depth"": 13.1, ""bearing"": 289}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 607, ""width"": 120, ""depth"": 13.1, ""bearing"": 195}]",10
