recordId,vesselType,vesselLOA,vesselBeam,blockCoefficient,transitSpeed,cargoType,vesselStaticDraft,vesselDynamicDraft,cargoCondition,arrivalDraft,departureDraft,requiredUKC,requiredUKCSpec,ukcPolicy,channelDepthAtTide,berthDepthAtTide,tideHeight,waveCondition,waveHeight,squatAllowance,heelAllowance,waveResponseAllowance,safetyMargin,totalAllowances,calculatedUKC,ukcMargin,ukcStatus,optimalTransitTime,isConfined
1,Suezmax,280,53,0.825,12.7,Crude Oil,16.91,19.91,Laden,16.91,8.12,1.46,8.6%,Net,22.2,20.9,0.93,Calm,0.27,3,0.35,0,0.43,3.78,1.94,0.48,Marginal,03:00,FALSE
2,ULCV,383,57,0.706,23.8,Containers,15.72,13.84,PartLaden,10.84,13.97,1.17,10.8%,Dynamic,17,15.1,0.96,Slight,0.63,3,0.45,0.16,0.47,4.08,2.55,1.38,Safe,14:30,FALSE
3,Cruise_Ship,348,34,0.637,23.9,Passengers,9.11,11.2,Ballast,8.2,6.84,0.69,0.69m,Net,15.6,14.1,3.9,Slight,0.9,3,0.35,0.26,0.77,4.38,3.79,3.1,Safe,17:15,TRUE
4,ULCV,387,59,0.714,23.6,Containers,14.89,11.93,Ballast,8.93,14.89,0.87,0.87m,Net,13.9,12.4,0.42,Slight,0.76,3,0.8,0.2,0.67,4.67,0.97,0.1,Marginal,22:00,TRUE
5,General_Cargo,139,25,0.737,13.7,General Cargo,8.39,9.41,PartLaden,6.41,4.91,0.5,6.6%,Net,13.6,11.6,1.62,Calm,0.44,3,0.15,0,0.4,3.55,4.04,3.54,Safe,15:15,TRUE
6,ULCV,384,56,0.685,22,Containers,15.9,18.9,Laden,15.9,9.54,2.15,13.5%,Gross,21,20.1,1.61,Slight,0.67,3,0.34,0.17,0.61,4.12,5.1,2.95,Safe,05:30,FALSE
7,Neo_Panamax,355,52,0.696,23.4,Containers,13.8,16.8,Laden,13.8,8.56,1.63,11.8%,Dynamic,19.3,18,1.02,Calm,0.1,3,0.39,0,0.79,4.18,2.11,0.48,Marginal,16:15,FALSE
8,Panamax_Bulk,241,32,0.826,13.8,Coal,13.6,12.27,PartLaden,9.27,11.25,1.65,1.65m,Gross,13.4,11.4,0.28,Calm,0.03,3,0.3,0,0.33,3.63,4.13,2.48,Safe,23:30,TRUE
9,VLCC,321,67,0.826,12.6,Crude Oil,19.23,11.65,Ballast,8.65,15.91,0.93,0.93m,Dynamic,14.2,13.3,2.6,Moderate,1.8,3,0.55,0.56,0.65,4.76,1.44,0.51,Adequate,01:00,TRUE
10,Panamax_Tanker,223,33,0.796,16,Refined Products,11.63,14.63,Laden,11.63,6.05,0.8,0.8m,Net,16.2,15.4,0.76,Calm,0.25,3,0.2,0,0.63,3.83,1.37,0.57,Adequate,22:30,FALSE
11,Feeder_Container,151,30,0.644,19.6,Containers,8.3,11.3,Laden,8.3,5.64,0.68,0.68m,Net,13,12.4,1.14,Slight,0.54,3,0.29,0.27,0.73,4.29,1.14,0.46,Marginal,09:30,TRUE
12,LNG_Carrier,319,54,0.727,16.8,LNG,11.55,14.55,Laden,11.55,7.51,1.15,1.15m,Gross,14.9,13.4,2.09,Slight,1.19,3,0.26,0.37,0.61,4.24,3.35,2.2,Safe,18:15,TRUE
13,Aframax,244,47,0.812,13.6,Crude Oil,14.61,10.3,Ballast,7.3,10.3,0.5,5.5%,Net,13.7,12.8,2.41,Rough,3.67,3,0.33,1.5,0.78,5.61,1.57,1.07,Safe,02:15,TRUE
14,Handymax_Bulk,193,33,0.829,14.7,Fertilizer,12.04,15.04,Laden,12.04,7.13,0.64,5.3%,Net,16.5,15.3,2.49,Slight,0.95,3,0.16,0.47,0.41,4.04,0.83,0.19,Marginal,23:15,FALSE
15,Aframax,230,47,0.788,13.5,Refined Products,14.62,17.62,Laden,14.62,10.03,1.73,1.73m,Gross,22.9,21.6,10.93,Slight,1.03,3,0.29,0.45,0.59,4.33,8.28,6.55,Safe,17:30,TRUE
16,Panamax_Bulk,247,38,0.856,13,Grain,13.51,16.51,Laden,13.51,6.08,1.25,9.2%,Dynamic,18.8,18.1,0.47,Calm,0.47,3,0.21,0,0.53,3.74,2.08,0.83,Adequate,10:15,TRUE
17,VLCC,334,66,0.839,13.3,Crude Oil,19.2,11.38,Ballast,8.64,16.68,0.53,6.2%,Net,14.1,12.4,7,Moderate,2.43,2.74,0.4,0.73,0.39,4.26,1.59,1.06,Safe,06:00,FALSE
18,General_Cargo,148,25,0.74,14,Steel,8.36,7.6,Ballast,4.6,8.36,1.15,1.15m,Gross,8.2,7,5.09,Calm,0.28,3,0.21,0,0.7,3.91,3.6,2.45,Safe,22:45,TRUE
19,Panamax_Container,262,37,0.68,22.7,Containers,12.34,11.02,Ballast,8.02,12.34,1.98,1.98m,Gross,15.5,13.7,0.51,Moderate,2.42,3,0.57,0.92,0.65,5.14,7.48,5.5,Safe,17:45,FALSE
