vessel_id,imo_number,flagState,flagStateName,vessel_name,vessel_type,loa,beam,draft,grossTonnage,cargoType,cargoVolume,cargoUnit
1,9058061,HK,Hong Kong,NORTH SEA TRADER,RoRo Cargo,178,28,7.2,36216,Rolling Cargo,4475,LM
2,9892033,LR,Liberia,PANA CARRIER,Panamax Bulk,244,38,14,38831,Iron Ore,76537,MT
3,9158384,GB,United Kingdom,PACIFIC TRADER,Handymax Bulk,186,31,12.4,29492,Cement,35465,MT
4,9551766,CY,Cyprus,INTER UNITY,Supramax Bulk,192,33,11.4,43031,Steel Products,55640,MT
5,9908166,HK,Hong Kong,TRANS UNITY V,Supramax Bulk,196,31,11.3,28605,Cement,55443,MT
6,9882473,MT,Malta,REGIONAL LINK,Feeder Container,153,27,8.1,11657,Containers,959,TEU
7,9889002,GR,Greece,WAN HAI PACIFIC,Panamax Container,271,36,12.1,74201,Containers,4150,TEU
8,9872829,PA,Panama,WAN HAI ATLANTIC,Panamax Container,295,37,12.3,52789,Containers,4259,TEU
9,9611010,JP,Japan,STENA SOFIA,MR Tanker,171,28,11.3,29290,Naphtha,41645,MT
10,9912834,PA,Panama,GLOBAL MERCHANT,General Cargo,144,24,9.8,18885,Bagged Goods,19201,MT
11,9182906,HK,Hong Kong,DFDS ADVENTURER,Passenger Ferry,173,32,6.1,34744,Vehicles,1589,PAX
12,9442819,SG,Singapore,BALTIC HIGHWAY,RoRo Cargo,170,30,7.9,44976,Heavy Equipment,5205,LM
13,9162267,MT,Malta,JUMBO STAR V,Heavy Lift,154,29,7.8,27466,Modules,12239,MT
14,9686935,JP,Japan,NAVIGATOR PRINCESS,LPG Carrier,204,42,11.1,57725,LPG,59681,CBM
15,9540229,HK,Hong Kong,TORM MARY,MR Tanker,182,28,10.2,35522,Clean Petroleum Products,52217,MT
16,9322920,PA,Panama,GOLDEN HARVEST II,Panamax Bulk,233,32,13.1,42783,Iron Ore,84295,MT
17,9128017,DK,Denmark,COASTAL DIAMOND,Handysize Bulk,175,29,8.8,13519,Scrap Metal,37587,MT
18,9387899,DK,Denmark,X-PRESS LINK,Feeder Container,177,22,8.7,29572,Containers,964,TEU
19,9442393,PA,Panama,ISLAND DIAMOND I,Handysize Bulk,160,26,10.1,21283,Scrap Metal,29426,MT
20,9956012,PA,Panama,GENER8 LIGHT,Suezmax,288,55,15.3,124366,Fuel Oil,164325,MT
21,9669103,NO,Norway,STENA PROGRESS,Panamax Tanker,220,34,12,52005,Fuel Oil,68851,MT
22,9126504,GR,Greece,EVER OSCAR 8,ULCV,395,62,15.2,200151,Containers,22235,TEU
23,9652430,GR,Greece,COSCO GLORY I,ULCV,391,61,15.9,195584,Containers,22006,TEU
24,9849888,GR,Greece,DELTA SPIRIT IV,Suezmax,279,55,15.3,132365,Crude Oil,161935,MT
25,9295203,LR,Liberia,FINNLINES CARRIER,RoRo Cargo,210,28,8.4,36369,Trailers,2994,LM
26,9739174,BS,Bahamas,BALTIC LIGHT IV,Aframax,234,46,13.4,75768,Crude Oil,83293,MT
27,9141773,PA,Panama,EVER OSCAR,ULCV,380,56,15.1,210556,Containers,21811,TEU
28,9747076,BS,Bahamas,COASTAL SHUTTLE III,Feeder Container,151,23,8.5,20128,Containers,2853,TEU
29,9366748,CY,Cyprus,FEEDER SERVICE,Feeder Container,186,25,8.4,28603,Containers,2109,TEU
30,9288616,PA,Panama,NAVIGATOR LEADER,LPG Carrier,214,38,11.8,47759,Ammonia,64624,CBM
31,9759260,PA,Panama,SCORPIO LAURA,MR Tanker,171,29,10.9,39197,Jet Fuel,42667,MT
32,9097166,SG,Singapore,ODFJELL CONFIDENCE,Chemical Tanker,185,25,9.2,32701,Chemicals,18645,MT
33,9716822,MH,Marshall Islands,BW LEADER II,LPG Carrier,213,40,10.3,56444,Propane,70373,CBM
34,9145138,MH,Marshall Islands,ARDMORE MARY,MR Tanker,175,34,11,32922,Clean Petroleum Products,45754,MT
35,9200913,CY,Cyprus,HOEGH CHAMPION V,PCTC,202,35,10.5,45059,Heavy Machinery,6154,CEU
36,9556805,BS,Bahamas,COASTAL RUBY,Handysize Bulk,163,28,8.6,23778,Grain,36431,MT
37,9820550,ID,Indonesia,COASTAL EXPRESS V,Feeder Container,149,23,9.3,18540,Containers,2897,TEU
38,9336503,MT,Malta,CAPE GLORY II,Capesize Bulk,273,47,17.5,91558,Iron Ore,157602,MT
39,9858028,LR,Liberia,HANDY SPIRIT II,Handymax Bulk,196,33,11.9,20117,Steel Coils,49946,MT
40,9280105,LR,Liberia,BALTIC LIGHT,Aframax,252,45,12.9,64509,Crude Oil,113373,MT
41,9861597,IN,India,STAR FORTUNE,Capesize Bulk,276,43,18,96830,Iron Ore,162511,MT
42,9756434,LR,Liberia,TRANS UNITY,Supramax Bulk,191,35,11.5,35600,Fertilizer,55511,MT
43,9077552,NL,Netherlands,PACIFIC CARRIER,Handymax Bulk,180,31,10.7,23069,Steel Coils,49104,MT
44,9488776,PH,Philippines,X-PRESS EXPRESS,Feeder Container,199,30,9,18765,Containers,876,TEU
45,9711940,MT,Malta,TRANS PROGRESS,General Cargo,150,23,8.2,7884,Machinery,11553,MT
46,9422763,CY,Cyprus,ARDMORE PROGRESS I,Panamax Tanker,223,36,12.2,42552,Gasoil,60940,MT
47,9425601,LR,Liberia,X-PRESS LINK 8,Feeder Container,162,24,10.5,14352,Containers,1502,TEU
48,9938398,MH,Marshall Islands,TORM STAR,Aframax,254,45,14,70630,Dirty Petroleum Products,107530,MT
49,9916349,MH,Marshall Islands,NYK LEADER,PCTC,189,31,8.2,53703,Heavy Machinery,5791,CEU
50,9037141,GB,United Kingdom,TRANS TRADER,General Cargo,145,22,9.4,10765,General Cargo,16367,MT
51,9426551,LR,Liberia,ASIA MERCHANT II,General Cargo,142,26,9.9,16065,Bagged Goods,16151,MT
52,9851341,BS,Bahamas,TRANS MERCHANT,General Cargo,144,22,7.6,10452,Bagged Goods,24011,MT
53,9736338,LR,Liberia,HANDY RUBY,Handysize Bulk,179,28,10,17376,Grain,28190,MT
54,9342143,LR,Liberia,FEEDER LINK,Feeder Container,184,29,10.9,10992,Containers,1099,TEU
55,9257422,DK,Denmark,FEEDER LINK V,Feeder Container,182,29,8.9,18435,Containers,1124,TEU
56,9449864,LR,Liberia,GLOBAL PROGRESS,General Cargo,144,20,8.1,18088,Machinery,9791,MT
57,9505482,LR,Liberia,ULTRA FORTUNE V,Supramax Bulk,213,34,12.5,43170,Grain,60419,MT
58,9998331,JP,Japan,SCORPIO SOFIA,MR Tanker,182,34,11.1,38937,Diesel,45204,MT
