vessel_id,vessel_name,imo_mmsi,line_operator,loa_m,beam_m,draft_m
V0001,BAY VOYAGER 160,IMO9225772|MMSI761415646,Evergreen,267.51414870239216,45.604885063956544,13.779576957334585
V0002,INDIA STAR 748,IMO9481741|MMSI975770529,Samsara Shipping,307.551769436073,43.79429297661029,15.393258083964973
V0003,GULF SPIRIT 197,IMO9738797|MMSI474684276,Samsara Shipping,363.60374043107174,51.568704226301364,13.179293758762228
V0004,OOCL EAGLE 285,IMO9475435|MMSI791735568,Hapag-Lloyd,246.81049809227417,33.9378341042665,13.465602140094717
V0005,YM UNITY 747,IMO9256702|MMSI575452091,Samsara Shipping,242.45216324439403,37.71343193083493,14.000264996719277
V0006,ATLANTIC STAR 825,IMO9330776|MMSI830747414,MSC,379.16957427903986,40.36307908682237,12.301869895021287
V0007,NEPTUNE NAVIGATOR 470,IMO9149811|MMSI684412919,ZIM,340.4305510930642,42.421165771790285,12.642477417457432
V0008,NEPTUNE TRADER 225,IMO9145051|MMSI947099690,Samsara Shipping,350.0203662224184,38.14474535513287,11.40124960839432
V0009,ORION SPIRIT 66,IMO9403457|MMSI809760584,CMA CGM,300.9878746145945,43.75764550808492,12.846221161548883
V0010,INDIA NAVIGATOR 349,IMO9116970|MMSI715143362,Maersk,317.600804336135,41.30508028851883,14.363104917766139
V0011,OOCL NAVIGATOR 306,IMO9882554|MMSI945098869,Adani Logistics,302.56740835056036,47.34582908261843,11.227730465346617
V0012,BAY PHOENIX 20,IMO9117301|MMSI789747629,Samsara Shipping,264.25877044431144,36.387023891801235,10.688211319096073
V0013,ATLANTIC SPIRIT 970,IMO9082582|MMSI491969690,MSC,185.2735478844567,29.019293024112198,10.656956067683309
V0014,YM VOYAGER 541,IMO9914812|MMSI854340903,ZIM,271.2355730119008,35.30912167283505,13.11058619627796
V0015,GULF PHOENIX 922,IMO9542717|MMSI884779555,Evergreen,253.66228235647964,40.3271248871765,13.778152248808691
V0016,ATLANTIC SPIRIT 226,IMO9007540|MMSI476228245,Samsara Shipping,253.82891071259837,39.045941352165066,12.904566484481602
V0017,CS UNITY 244,IMO9292004|MMSI921209849,COSCO,345.55411024315475,50.38856173739586,14.117474252578397
V0018,ORION EXPLORER 97,IMO9101639|MMSI862837684,ZIM,279.2338626683394,47.38241866093426,12.217107368681546
V0019,MT EAGLE 746,IMO9355784|MMSI517326729,Maersk,252.56181321147335,37.34861860563161,10.645769919274565
V0020,YM VOYAGER 474,IMO9261941|MMSI480943908,Evergreen,335.59269161286494,39.990702504672456,14.600843205821361
V0021,MV PRIDE 949,IMO9790170|MMSI653810544,Adani Logistics,257.4089708312963,42.69156090205021,11.717113851464179
V0022,YM EAGLE 3,IMO9409386|MMSI684759615,MSC,233.95534208583751,42.8735785687581,12.717447423252668
V0023,SAPPHIRE HORIZON 195,IMO9311120|MMSI633754555,Adani Logistics,,,
V0024,MT SPIRIT 489,IMO9527276|MMSI970292350,MSC,374.8978259577865,47.44567269646749,11.830269619742534
V0025,CS NAVIGATOR 883,IMO9246629|MMSI833550699,Maersk,261.82800101552874,37.81547460273206,10.532948237252354
