schedule_id,vessel_id,vessel_name,imo_mmsi,line_operator,cargo_type,terminal_code,berth_id,eta_ts,ata_ts,atb_ts,atd_ts,etc_ts,anchorage_ts,status,quantity,waiting_time_hours,service_time_hours,eta_error_hours
MC00000001,V0001,BAY VOYAGER 160,IMO9225772|MMSI761415646,Evergreen,general_bulk,WB,WB-B2,2025-02-05 21:40:39.993,2025-02-05 18:59:41.727,2025-02-06 10:27:42.577,2025-02-07 13:23:45.165,2025-02-07 10:14:44.106,,completed,39310 tonnes,15.46690261777778,26.93405239083333,-2.682851535
MC00000002,V0002,INDIA STAR 748,IMO9481741|MMSI975770529,Samsara Shipping,container,CT3,CT3-B3,2025-02-05 13:19:55.664,2025-02-05 19:25:46.620,2025-02-06 01:36:51.722,2025-02-06 10:47:46.049,2025-02-06 08:35:07.791,2025-02-05 13:27:03.386,completed,5851 TEU,6.184750533611111,9.181757425,6.097487737777778
MC00000003,V0003,GULF SPIRIT 197,IMO9738797|MMSI474684276,Samsara Shipping,container,CT1,CT1-B3,2025-02-05 08:12:00.869,2025-02-05 12:11:35.527,2025-02-06 07:49:47.595,2025-02-07 10:30:21.973,2025-02-07 06:30:18.948,,completed,4611 TEU,19.63668534777777,26.67621637194445,3.992960665555556
MC00000004,V0004,OOCL EAGLE 285,IMO9475435|MMSI791735568,Hapag-Lloyd,ore,NB,NB-B1,2025-02-05 11:55:11.358,2025-02-05 12:02:23.782,2025-02-06 07:55:34.177,2025-02-08 00:21:55.767,2025-02-07 23:01:43.545,2025-02-05 08:03:32.237,completed,42426 tonnes,19.88622086555555,40.43933062527778,0.1201176886111111
MC00000005,V0005,YM UNITY 747,IMO9256702|MMSI575452091,Samsara Shipping,petroleum_products,SPM,SPM-1,2025-02-05 08:21:56.835,2025-02-05 12:32:52.963,2025-02-05 20:15:16.282,2025-02-06 22:53:24.173,2025-02-06 17:23:28.977,2025-02-05 08:52:27.558,completed,68258 tonnes,7.706477398611111,26.63552536638889,4.182257955
MC00000006,V0006,ATLANTIC STAR 825,IMO9330776|MMSI830747414,MSC,container,CT2,CT2-B3,2025-02-05 05:45:47.394,2025-02-05 05:48:26.993,2025-02-05 14:21:46.349,2025-02-06 08:50:21.474,2025-02-06 08:53:19.018,2025-02-05 03:06:01.133,completed,3654 TEU,8.555376658888889,18.47642374638889,0.04433301611111112
MC00000007,V0007,NEPTUNE NAVIGATOR 470,IMO9149811|MMSI684412919,ZIM,container,CT3,CT3-B2,2025-02-05 09:54:27.612,2025-02-05 09:27:49.106,2025-02-06 13:21:56.014,2025-02-07 09:07:09.886,2025-02-07 07:57:23.217,2025-02-05 07:55:49.818,completed,3536 TEU,27.90191886861111,19.75385334194445,-0.4440294786111111
MC00000008,V0008,NEPTUNE TRADER 225,IMO9145051|MMSI947099690,Samsara Shipping,container,CT3,CT3-B4,2025-02-05 14:08:04.115,2025-02-05 11:44:46.009,2025-02-06 10:30:18.649,2025-02-07 06:18:56.116,2025-02-07 03:44:55.775,,completed,1624 TEU,22.75906657611111,19.81040747861111,-2.388362585555555
MC00000009,V0009,ORION SPIRIT 66,IMO9403457|MMSI809760584,CMA CGM,container,CT1,CT1-B2,2025-02-05 11:56:56.524,2025-02-05 16:01:22.315,2025-02-06 00:25:57.899,2025-02-06 22:54:54.725,2025-02-06 22:07:02.407,,completed,3886 TEU,8.4098845,22.48245153055555,4.073830810833333
MC00000010,V0010,INDIA NAVIGATOR 349,IMO9116970|MMSI715143362,Maersk,container,CT3,CT3-B1,2025-02-05 17:21:11.210,2025-02-06 03:06:58.677,2025-02-06 21:37:27.840,2025-02-07 22:29:33.019,2025-02-07 23:18:37.962,2025-02-06 00:44:39.336,completed,2996 TEU,18.50810085861111,24.8681052275,9.763185135555554
MC00000011,V0011,OOCL NAVIGATOR 306,IMO9882554|MMSI945098869,Adani Logistics,container,CT3,CT3-B2,2025-02-05 11:00:15.095,2025-02-05 13:50:47.953,2025-02-06 07:30:48.465,2025-02-07 05:12:20.022,2025-02-07 00:41:16.265,2025-02-05 12:42:30.704,completed,2122 TEU,17.66680879083333,21.69209924,2.842460630555556
MC00000012,V0012,BAY PHOENIX 20,IMO9117301|MMSI789747629,Samsara Shipping,petroleum_products,LJ,LJ-J1,2025-02-05 22:01:37.592,2025-02-05 20:33:26.541,2025-02-06 13:53:49.083,2025-02-08 16:18:29.927,2025-02-08 18:49:14.910,2025-02-05 19:20:40.448,completed,22860 tonnes,17.33959497388889,50.41134569027778,-1.469736321388889
MC00000013,V0013,ATLANTIC SPIRIT 970,IMO9082582|MMSI491969690,MSC,vehicles,RORO,RORO-R1,2025-02-05 18:33:08.960,2025-02-05 18:50:23.040,2025-02-05 23:16:22.785,2025-02-06 10:07:38.743,2025-02-06 09:12:41.545,,completed,2163 units,4.433262561388888,10.85443250611111,0.2872443827777778
MC00000014,V0014,YM VOYAGER 541,IMO9914812|MMSI854340903,ZIM,coal,WB,WB-B2,2025-02-05 20:44:56.134,2025-02-05 20:58:40.528,2025-02-07 04:48:03.237,2025-02-09 06:13:16.703,2025-02-08 19:43:48.748,,completed,71596 tonnes,31.82297491805556,49.42040702833333,0.2289983452777778
MC00000015,V0015,GULF PHOENIX 922,IMO9542717|MMSI884779555,Evergreen,grains,NB,NB-B3,2025-02-05 19:02:24.302,2025-02-05 19:13:05.346,2025-02-08 17:13:44.955,2025-02-10 00:21:49.840,2025-02-10 00:16:12.782,,completed,40844 tonnes,70.0110024925,31.13469036722222,0.1780676491666667
MC00000016,V0016,ATLANTIC SPIRIT 226,IMO9007540|MMSI476228245,Samsara Shipping,petroleum_products,SPM,SPM-1,2025-02-05 09:39:03.852,2025-02-05 08:51:54.189,2025-02-05 23:42:19.402,2025-02-06 19:06:52.236,2025-02-06 19:32:16.845,2025-02-05 07:02:04.789,completed,35000 tonnes,14.84033691083333,19.40912057638889,-0.7860173788888889
MC00000017,V0017,CS UNITY 244,IMO9292004|MMSI921209849,COSCO,container,CT1,CT1-B1,2025-02-05 23:30:09.630,2025-02-05 22:48:19.719,2025-02-06 06:26:29.430,2025-02-07 02:17:40.893,2025-02-06 21:47:10.830,2025-02-05 19:48:12.325,completed,2789 TEU,7.636030909166667,19.85318412388889,-0.6971975613888889
MC00000018,V0018,ORION EXPLORER 97,IMO9101639|MMSI862837684,ZIM,container,CT4,CT4-B2,2025-02-05 13:42:36.697,2025-02-05 10:26:02.297,2025-02-06 23:48:30.352,2025-02-08 01:27:14.741,2025-02-07 23:24:48.282,2025-02-05 08:06:26.729,completed,4247 TEU,37.37445993472222,25.64566364888889,-3.276222481111111
MC00000019,V0019,MT EAGLE 746,IMO9355784|MMSI517326729,Maersk,coal,WB,WB-B6,2025-02-05 16:21:25.210,2025-02-05 20:24:52.492,2025-02-06 20:15:49.574,2025-02-08 05:39:27.851,2025-02-08 06:19:12.568,2025-02-05 16:54:22.619,completed,69709 tonnes,23.84918962527778,33.39396567805555,4.057578318888889
MC00000020,V0020,YM VOYAGER 474,IMO9261941|MMSI480943908,Evergreen,container,CT4,CT4-B2,2025-02-05 09:06:26.678,2025-02-05 18:45:51.205,2025-02-07 03:21:34.838,2025-02-07 22:51:43.551,2025-02-07 21:47:42.236,2025-02-05 17:56:08.819,completed,4151 TEU,32.59545353472222,19.50242038305555,9.656813121111112
MC00000021,V0021,MV PRIDE 949,IMO9790170|MMSI653810544,Adani Logistics,ore,WB,WB-B1,2025-02-05 05:30:07.856,2025-02-05 09:04:26.041,2025-02-06 15:48:43.385,2025-02-08 04:26:43.963,2025-02-07 22:19:22.920,,completed,98532 tonnes,30.73815107333333,36.63349414972222,3.571717903888889
MC00000022,V0022,YM EAGLE 3,IMO9409386|MMSI684759615,MSC,fertilizer,WB,WB-B4,2025-02-05 13:25:39.243,2025-02-05 16:36:24.261,2025-02-07 05:52:18.866,2025-02-08 17:51:35.332,2025-02-08 16:18:48.157,2025-02-05 10:53:45.835,completed,56530 tonnes,37.26516807,35.98790732277778,3.179171634722222
MC00000023,V7910,SAPPHIRE HORIZON 195,IMO9311120|MMSI633754555,Adani Logistics,vehicles,RORO,RORO-R1,2025-02-05 17:51:02.699,2025-02-05 16:42:03.234,2025-02-06 00:08:03.734,2025-02-06 12:33:54.542,2025-02-06 12:55:14.329,,completed,3543 units,7.433472326944445,12.4307800225,-1.149851546111111
MC00000024,V0024,MT SPIRIT 489,IMO9527276|MMSI970292350,MSC,container,CT1,CT1-B3,2025-02-05 20:40:07.292,2025-02-05 17:18:01.614,2025-02-06 11:14:54.797,2025-02-06 22:32:20.538,2025-02-06 23:05:11.630,2025-02-05 13:42:56.299,completed,3541 TEU,17.94810640444445,11.29048381027778,-3.3682440025
MC00000025,V0025,CS NAVIGATOR 883,IMO9246629|MMSI833550699,Maersk,crude,LJ,LJ-J1,2025-02-05 11:28:30.475,2025-02-05 13:59:45.093,2025-02-06 05:26:32.041,2025-02-07 17:48:52.232,2025-02-07 11:06:44.569,,completed,85075 tonnes,15.44637440222222,36.37227524388889,2.520727336388889
MC00000026,V0026,CS EAGLE 674,IMO9612024|MMSI961333669,Samsara Shipping,container,CT2,CT2-B1,2025-02-05 12:12:14.039,2025-02-05 11:25:51.016,2025-02-06 13:22:14.788,2025-02-07 00:40:39.904,2025-02-07 01:04:59.957,,completed,5828 TEU,25.93993668333333,11.30697656555556,-0.7730617461111111
MC00000027,V0027,NEPTUNE HORIZON 688,IMO9676856|MMSI722119408,ONE,container,CT3,CT3-B2,2025-02-05 15:21:58.836,2025-02-05 18:26:52.884,2025-02-06 07:02:07.691,2025-02-07 03:29:00.906,2025-02-07 03:29:46.719,2025-02-05 16:14:34.885,completed,4878 TEU,12.58744650055556,20.44811518416667,3.081679947777778
MC00000028,V0028,OOCL PRIDE 551,IMO9223508|MMSI943189555,ZIM,grains,NB,NB-B1,2025-02-05 14:03:50.396,2025-02-05 16:14:52.758,2025-02-06 08:45:23.012,2025-02-07 06:18:33.220,2025-02-07 03:31:30.840,,completed,45574 tonnes,16.50840406083333,21.5528353825,2.183989293333333
MC00000029,V0029,ARABIAN HORIZON 449,IMO9874244|MMSI983275843,COSCO,container,CT1,CT1-B2,2025-02-05 08:31:44.671,2025-02-05 04:38:17.325,2025-02-07 20:50:30.135,2025-02-08 01:12:14.861,2025-02-08 00:55:39.368,,completed,5960 TEU,64.20355830555556,4.362423891944444,-3.890929276944444
MC00000030,V0030,APL VOYAGER 119,IMO9932931|MMSI514929002,Maersk,container,CT1,CT1-B3,2025-02-05 17:43:56.556,2025-02-06 00:35:56.287,2025-02-07 01:38:50.251,2025-02-07 10:57:49.116,2025-02-07 09:50:24.805,2025-02-05 19:26:20.308,completed,4539 TEU,25.04832345194444,9.316351384722223,6.866591930277778
MC00000031,V0031,PACIFIC NAVIGATOR 650,IMO9894343|MMSI683450553,COSCO,general_bulk,NB,NB-B2,2025-02-05 21:07:30.947,2025-02-05 19:49:38.175,2025-02-06 09:11:45.963,2025-02-07 10:02:11.449,2025-02-07 09:30:47.479,2025-02-05 14:42:32.914,completed,50804 tonnes,13.36883005055556,24.84041273555555,-1.297992252222222
MC00000032,V0032,APL EAGLE 131,IMO9043860|MMSI730989881,COSCO,petroleum_products,LJ,LJ-J1,2025-02-06 22:44:33.812,2025-02-07 02:18:25.784,2025-02-08 13:18:35.236,2025-02-09 15:34:28.090,2025-02-09 14:42:22.030,,completed,30042 tonnes,35.00262573861111,26.26468170972222,3.564436680555556
MC00000033,V0033,ATLANTIC NAVIGATOR 106,IMO9370858|MMSI836344399,Hapag-Lloyd,crude,LJ,LJ-J2,2025-02-06 08:49:34.926,2025-02-06 09:17:19.647,2025-02-06 15:19:41.645,2025-02-07 14:19:21.016,2025-02-07 13:48:36.748,,completed,103155 tonnes,6.039443778611111,22.99426980027778,0.4624225705555556
MC00000034,V0034,ORION STAR 184,IMO9772343|MMSI756681425,CMA CGM,container,CT2,CT2-B2,2025-02-06 23:49:00.000,2025-02-07 03:26:35.389,2025-02-07 12:24:12.206,2025-02-08 12:02:46.724,2025-02-08 09:58:59.742,,completed,1577 TEU,8.960226762777777,23.64292168194444,3.626497009722222
